velocity,true_latency,measured_latency
0,30.5,30.748357076505616
1,30.432644673696696,30.363512523111105
2,30.36588761818121,30.689731887231556
3,30.29971848101712,31.06123340922113
4,30.234127171886616,30.11705048452495
5,30.169103853722074,30.052035375247485
6,30.104638934209905,30.8942453419636
7,30.040723057648094,30.42444042222455
8,29.97734709713997,29.742609904172493
9,29.91450214710764,30.185782168900623
10,29.852179516109516,29.620470669703284
11,29.790370719947262,29.557505843162133
12,29.7290674750483,29.850048610831315
13,29.668261692110715,28.711621569781816
14,29.60794546999821,28.745486553741692
15,29.54811108987346,29.26696732525297
16,29.48875100955864,28.982335449391428
17,29.429857858112836,29.586981524410472
18,29.37142443061631,28.917412392855706
19,29.313443683152194,28.60729183248455
20,29.25590872797687,29.988733112437647
21,29.19881282887039,29.085924678627123
22,29.142149396659157,29.17591349900312
23,29.0859119849031,28.37353789179637
24,29.03009428574023,28.757902923477637
25,28.97469012588179,29.030151420736722
26,28.919693462751344,28.34419667404019
27,28.865098380761843,29.05294738993468
28,28.810899087724653,28.510579742765252
29,28.757089911385037,28.6112430364884
30,28.703665296078796,28.402811989964096
31,28.650619799505005,29.576758891759475
32,28.597948089610025,28.59119947724106
33,28.545644941578313,28.016789477100364
34,28.493705234925542,28.904977690977137
35,28.442123950690007,27.831702125704496
36,28.390896168718307,28.495327966220685
37,28.340017065041504,27.360182003101617
38,28.289481909338257,27.62538888488904
39,28.23928606248144,28.337716680416
40,28.18942497416493,28.558658264162634
41,28.139894180607584,28.22557832120257
42,28.09068930233126,28.03286516113714
43,28.041806042010162,27.891254194215517
44,27.99324018238869,27.253979187204976
45,27.944987584265267,27.58506548006791
46,27.89704418453964,27.666724799059747
47,27.849405994321224,28.37796710743068
48,27.802069097096282,27.973878241880513
49,27.755029646951748,26.873509569270382
50,27.708283866853588,27.870325851550984
51,27.661828046977707,27.469286906769547
52,27.61565854309152,27.27719754293854
53,27.569771774984332,27.875609919404766
54,27.524164224944798,28.039663986192775
55,27.47883243628372,27.94447249584182
56,27.433773011900705,27.014164250289387
57,27.38898261289295,27.23437642496734
58,27.344457957204867,27.51008967290665
59,27.30019581831699,27.78796838187817
60,27.25619302397285,27.016605905050202
61,27.212446454942505,27.119616966610597
62,27.16895304382153,26.615785556818516
63,27.12570977386411,26.527606461823773
64,27.082713677849224,27.488976589046324
65,27.03996183697875,27.718081851264163
66,26.99745137980642,26.961446319016254
67,26.95517948119659,27.456945930142602
68,26.913143361311867,27.093961373835686
69,26.87134028462861,26.548780407326046
70,26.829767558979395,27.0104653617336
71,26.788422534621603,27.557440817854587
72,26.74730260333124,26.729389583776264
73,26.70640519752117,27.488727025428176
74,26.665727789383062,25.35585523733819
75,26.62526789005214,27.03621914223975
76,26.58502304879417,26.628546582913255
77,26.544990852213907,26.39548717698097
78,26.50516892348433,26.55104931175208
79,26.465554921595984,25.47177046429554
80,26.42614654062592,26.31631059670716
81,26.386941509025462,26.565497794781336
82,26.34793758892637,27.08688461129713
83,26.30913257546477,26.049997466327945
84,26.270524296122247,25.866277494675654
85,26.232110610083748,25.981232088291478
86,26.193889407611604,26.65159046646264
87,26.155858609435317,26.32023416426516
88,26.11801616615657,25.85313606427305
89,26.080360057669054,26.336993774225732
90,26.042888292592632,26.091427067266654
91,26.00559890772146,26.489921402987903
92,25.968489967485606,25.61746342054693
93,25.93155956342584,25.767728490126956
94,25.894805813681135,25.698751737115057
95,25.85822686248858,25.12646938842252
96,25.82182087969531,25.969881018227596
97,25.785586060282146,25.91611369637209
98,25.74952062389853,25.75207735221976
99,25.713622814408538,25.596329247720963
100,25.677890899447604,24.970205528422397
101,25.64232316998966,25.43200050860698
102,25.606917939924365,25.43556068166098
103,25.571673545644277,25.170534911033467
104,25.536588345641462,25.455945489808457
105,25.501660720113538,25.703686148520806
106,25.46688907057871,26.409982021183975
107,25.432271819499594,25.519560725915515
108,25.39780740991566,25.526582605277042
109,25.363494305083986,25.3262713472009
110,25.329330988128103,24.369945380478583
111,25.29531596169475,25.28205902397014
112,25.261447747618348,25.29156285258886
113,25.227724886592856,26.459345942835498
114,25.19414593785102,25.097965455460457
115,25.160709478850613,25.31148315001742
116,25.12741410496764,25.110058220115018
117,25.09425842919624,24.509919410386477
118,25.061241081855115,25.632652489112626
119,25.028360710300372,25.40432722664376
120,24.99561597864457,25.39113195216609
121,24.96300556748177,24.5083118400844
122,24.930528173618544,25.631925329086595
123,24.898182509810724,24.197256978414583
124,24.865967304505677,25.15939585140581
125,24.833881301590147,25.929109114495137
126,24.80192326014334,24.306655097577995
127,24.770091954195223,24.486943089393836
128,24.73838617248989,24.78821185503371
129,24.70680471825382,24.45506689119572
130,24.675346408969016,23.90001469343595
131,24.644010076150767,24.67829156355378
132,24.61279456513002,24.08164270826697
133,24.58169873484018,24.81849495015777
134,24.55072145760834,24.09100934049144
135,24.51986161895068,25.29482882145945
136,24.489118117372044,24.097491471203927
137,24.458489864169564,24.297459106066725
138,24.427975783240246,24.834734391925082
139,24.397574810892365,23.782142652675386
140,24.367285895660668,24.48101586296273
141,24.337107998125244,24.99067937526646
142,24.307040090733945,23.50329847345333
143,24.277081157628345,24.369398086894495
144,24.247230194473115,24.377171591597328
145,24.217486208288694,24.608397644177348
146,24.18784821728729,23.569372861848247
147,24.158315250711997,23.49808694416986
148,24.1288863486791,24.38985713148755
149,24.09956056202332,24.248052898639912
150,24.070336952146135,24.195583377319075
151,24.041214590866907,24.214438695615396
152,24.012192560276947,23.672180199487702
153,23.98326995259623,24.099396801176734
154,23.954445870032924,24.100982106682263
155,23.92571942464551,23.568543715632327
156,23.89708973820751,24.829976993779887
157,23.868555942074728,24.105472402530623
158,23.840117177054978,23.244465428453655
159,23.811772593280235,24.14004939759715
160,23.783521350081124,23.296180514967464
