onset_time,pitch,velocity,voice_id
5.203769953158188e-06,40,103,0
0.0004043358953843135,25,68,0
0.0010549425983027061,60,68,0
0.0011089082081183132,106,60,0
0.0012208795470067335,63,114,0
0.001393314544058757,100,67,0
0.002017192023353962,74,67,0
0.002030612247347694,32,92,0
0.002184404372168336,56,71,0
0.0023598491974895575,31,84,0
0.0025606832276132397,39,66,0
0.002721322493846353,70,96,0
0.002747217929900642,97,104,0
0.00295633685837714,26,66,0
0.0032434502100527397,37,107,0
0.00352568856334169,93,99,0
0.003562978380769749,55,82,0
0.0038292687475378986,47,88,0
0.004165099478703662,66,93,0
0.004393365018657701,86,103,0
0.004565345704829102,52,67,0
0.004753702231821117,105,70,0
0.005398410913016731,94,94,0
0.005612434258477012,21,100,0
0.005632755719763837,85,110,0
0.00598865466488536,61,101,0
0.006044173792778173,76,94,0
0.006243540481337933,87,87,0
0.006476901205413624,82,94,0
0.0069478493303970455,49,98,0
0.0069551608642612756,54,76,0
0.007106628896857874,89,83,0
0.007217295211648732,88,60,0
0.00848913824266084,33,104,0
0.008804678390152577,30,100,0
0.008832802589188683,65,92,0
0.008957635956735195,101,83,0
0.009068284415457541,28,83,0
0.00942853570557981,51,64,0
0.009717120953891038,43,74,0
0.5001545661652886,89,84,1
0.5002431596643145,66,97,1
0.5009367476782809,88,78,1
0.5017711067940704,77,79,1
0.5019524298779805,27,108,1
0.5022426930946056,56,107,1
0.502372490874968,67,64,1
0.5024398964337908,106,62,1
0.5026520236768173,41,75,1
0.5028077236244085,51,95,1
0.5029444889206959,36,113,1
0.5032539969815927,55,96,1
0.5036771580305943,33,107,1
0.5037015870025544,40,94,1
0.5038509772860192,68,94,1
0.5039309772466676,61,83,1
0.5042818414831731,91,77,1
0.5049251769381886,65,70,1
0.505026370931052,94,83,1
0.5056830860333548,38,94,1
0.5057690388462636,81,111,1
0.5063113862599726,95,115,1
0.5064547229590717,75,99,1
0.5064963289904721,63,114,1
0.506519612595026,34,60,1
0.5065761289230034,50,100,1
0.5071217922134753,83,71,1
0.5072245211526151,70,67,1
0.5074649140511802,35,91,1
0.5079481130354165,28,92,1
0.5084922341049418,30,68,1
0.5085300945546736,87,61,1
0.5089204655517712,45,113,1
0.5091486439022045,84,84,1
0.5092831856258773,49,88,1
0.5094045858435291,69,94,1
0.5095392857700258,105,107,1
0.5096361997708925,104,77,1
0.5096665481904367,62,105,1
0.5097301055475244,60,79,1
1.0001822182565154,75,89,2
1.0002327193573584,58,85,2
1.0002651131054163,69,88,2
1.0004530400977205,90,84,2
1.0006936130087516,50,106,2
1.0007056874740043,73,64,2
1.0007118864846023,91,64,2
1.0009444296075594,41,105,2
1.0010077800137742,88,108,2
1.0011816482762166,42,80,2
1.0016293442708144,61,98,2
1.0017320186991001,49,106,2
1.001957911347893,25,64,2
1.002818547747734,82,107,2
1.0031897563029377,71,71,2
1.0037461261462648,89,99,2
1.0038610263780077,76,88,2
1.0038816992620652,64,85,2
1.0039850473439738,85,91,2
1.0043385164923797,31,93,2
1.004582528904915,84,110,2
1.0047347177078056,105,60,2
1.005031362585801,94,112,2
1.0054561678931593,103,96,2
1.005754741778759,83,71,2
1.0058577558127346,30,114,2
1.006158500980522,39,113,2
1.0062585991571424,51,104,2
1.0063509365086765,101,107,2
1.0064241927820632,95,81,2
1.0064328821844235,23,75,2
1.0065869363161895,57,75,2
1.0068300677341635,72,111,2
1.0081446848258893,60,85,2
1.0084487531096946,26,75,2
1.0085648984118831,92,60,2
1.0090535064195607,79,87,2
1.0094023024142496,81,62,2
1.0094146480877653,80,81,2
1.009611905638239,24,73,2
1.5004315991195059,40,84,3
1.5004544638034145,94,98,3
1.500737965647354,24,65,3
1.5007773463696499,103,60,3
1.501626169393449,62,97,3
1.5018812115972375,76,87,3
1.5027738118298113,58,79,3
1.5028096318959223,22,62,3
1.5030952761628633,52,84,3
1.5035335222802606,88,100,3
1.504182430362906,59,104,3
1.5045454106476777,65,86,3
1.5045565675278572,28,109,3
1.5046369840493998,26,67,3
1.5052309784417015,71,103,3
1.505277011090863,97,63,3
1.5053609636634413,38,108,3
1.5055385428440131,21,90,3
1.5058365611185087,92,98,3
1.505843143119231,80,85,3
1.5061341519593578,60,91,3
1.5062013259780154,86,87,3
1.5062755808008406,63,69,3
1.5062939863813527,23,113,3
1.5068473117255388,107,92,3
1.506957486889846,54,98,3
1.5069816171401975,35,87,3
1.5072571950838836,74,104,3
1.5081379501970695,31,115,3
1.5082253724292316,68,65,3
1.5089026378389092,46,72,3
1.5089114311369807,42,104,3
1.50901158010491,89,78,3
1.5091092718449384,70,112,3
1.5094979991329192,73,103,3
1.5095041148407655,47,104,3
1.509693025356191,53,78,3
1.5097439480766617,77,62,3
1.509862107444796,66,72,3
1.509929647961193,64,95,3
2.000366832028906,36,63,4
2.000393121398411,49,61,4
2.0004086861626647,63,69,4
2.000610779598549,91,110,4
2.000817590319489,42,102,4
2.0008870253375703,61,76,4
2.001071720113398,32,86,4
2.001206358711006,84,79,4
2.0016893506307216,72,115,4
2.0017231987120163,97,88,4
2.0017701048427674,104,69,4
2.0018452101935638,22,75,4
2.001922890188087,82,63,4
2.0020633371840577,77,64,4
2.002093493233367,78,90,4
2.00252436944344,80,115,4
2.002768776481472,27,106,4
2.0027859033903197,58,76,4
2.0036426986104807,74,93,4
2.003689136395698,86,67,4
2.0037047210279137,98,70,4
2.0044741236682344,88,88,4
2.004607787680327,103,83,4
2.0046253471613316,35,63,4
2.0048452298519104,56,113,4
2.0050341727085486,67,65,4
2.0051167744211567,90,91,4
2.005321134852653,70,62,4
2.0053261726645504,108,91,4
2.006182547715303,68,75,4
2.006279003894909,95,102,4
2.006903948286294,62,112,4
2.0071334958588456,55,84,4
2.0074747093813374,64,99,4
2.0074825969038366,101,114,4
2.0079941039890903,45,72,4
2.0080620127979305,81,82,4
2.008735786241068,40,107,4
2.008952068376872,107,62,4
2.009208724005318,44,70,4
2.500664962673668,47,95,5
2.501168980407084,106,94,5
2.501392720726634,96,64,5
2.501397723766263,34,92,5
